variable_id,formal_definition,observed_or_derived_field,source_table,transformation,units,spatial_support,temporal_support,availability_status,missing_policy,affected_alternatives
drive_ivtt,source IVTT within alternative,drive.in_vehicle_min,mode_specific_od_costs.csv,none,minutes,directed H3 OD network path,2026-09-21 12:30/12:40/12:50,available 108/108,unknown excludes conditional case,DA|S2|S3
tw_ivtt,source IVTT within transit vehicle,transit_walk_access.in_vehicle_min,mode_specific_od_costs.csv,require at least one permitted ride,minutes,directed H3 OD selected itinerary,2026-09-21 12:30/12:40/12:50,available 87/108,unknown excludes conditional case,TW
tw_ovtt,source walking and waiting outside vehicle,walk_min + wait_min,mode_specific_od_costs.csv,sum each component once; includes access/transfer/egress walk,minutes,directed H3 OD selected itinerary,2026-09-21 12:30/12:40/12:50,available 87/108,unknown excludes conditional case,TW
auto_terminal_ovtt,source terminal time for auto,not supplied for this panel,CTPS report p93 and original skims,zero in explicitly named sensitivity only,minutes,directed H3 OD,midday,missing,not an observed zero; complete transfer blocked,DA|S2|S3
drive_distance,actual network drive path length,drive.distance_m,mode_specific_od_costs.csv,divide by 1609.344,miles,directed H3 OD network path,2026-09-21 midday,available 108/108,unknown excludes conditional case,DA|S2|S3
auto_operating_cost,source auto operating cost,drive_distance times 0.244,CTPS p91 Table 41 and mode_specific_od_costs.csv,do not divide operating cost by occupancy,provisional 2010 USD,directed H3 OD path,2026-09-21 midday,derived provisional price year,flag unverified price year,DA|S2|S3
parking_and_toll,source auto monetary costs,not supplied,CTPS report p93,zero only in named zero-context sensitivity,2010 USD,directed H3 OD and destination context,midday,missing,complete transfer blocked,DA|S2|S3
tw_fare,selected-itinerary transit fare,transit_walk_access.fare_usd and fare_price_year,mode_specific_od_costs.csv,multiply nominal 2026 USD by 218.056/334.980 once,2010 USD,directed H3 OD selected itinerary,2026-09-21 midday,known for evaluated 87/108,unknown excludes conditional case,TW
sufficient_vehicle,source household vehicle availability category,conditional research segment equals 1,CTPS p94 Table 44,not inferred from population marginals,indicator,conditional traveler segment,not observed for actual OD trips,assumed scenario only,do not call unconditional local share,DA|S2|S3
mode_constant,HBW alternative-specific constant,choice_spec.json constant,CTPS p95 Table 45,DA reference zero inference plus listed S2/S3/TW constants,utility,HBW sufficient-vehicle scenario,midday transfer,reported except DA normalization inference,document reference assumption,DA|S2|S3|TW
nest_scale,GEV dissimilarity under implemented inclusive-value convention,choice_spec.json scale_vectors,CTPS p89 Figure 16 for tree only,unit boundary and 0.7 Auto sensitivity,dimensionless,choice tree,all panel objects,official values unavailable,never claim official vector,Auto|Transit
