source_id,title,provider,source_url,local_path,version,source_year,application_year,acquired_or_verified_date,license_or_terms,source_status,used_for,sha256,redistribution_status,run_id
gmns_plus_boston_116447ab,GMNS Plus 21_Boston,Han Zheng / GMNS Plus,https://github.com/HanZhengIntelliTransport/GMNS_Plus_Dataset,work/boston_database/raw/gmns_plus_21_boston/link.csv,116447ab641cca1ed34797d019c8e704063393c3,2025,2026,2026-09-22,Apache-2.0,official_observation,directed road network and inherited source demand metadata,3e48d8c1eac4cb3c63698d030cb6f84560336f8aa37c79e1e66077e53741d056,redistributable_with_attribution,behavior_feedback_r1_semantic_fix_r1
acs2024_5yr_bg_census_reporter_mirror,ACS 2024 5-year block-group estimates and TIGER 2024 geometry mirror,U.S. Census Bureau data via Census Reporter,https://api.censusreporter.org/,work/boston_database/raw/demographics/acs2024_5yr_bg/suffolk_025.json,acs2024_5yr / TIGER 2024,2020-2024,2026,2026-09-22,public_domain_US_government; mirror attribution,official_observation,population and households area-weighted to H3,711a34c403c74943dcc3784c098085339230680233d731b7cd4783c93237fa24,redistributable_check_mirror_terms,behavior_feedback_r1_semantic_fix_r1
ctps_tdm23_2_0_report,TDM23.2.0 Structures and Performance,Central Transportation Planning Staff,https://ctpsstaff.github.io/tdm23_users_guide/2.0/,tmp/pdfs/TDM23.2.0_Structures_and_Performance.pdf,TDM23.2.0 report posted 2025,model base years documented in report,2026,2026-09-22,official_public_document,regional_model_estimate,"trip rates, time factors, coefficients, occupancies, model structure",6a4fe2241494ea508453c485a796f776eac59c97c98c262d7dc770fb5476598b,link_or_redistribute_per_document_terms,behavior_feedback_r1_semantic_fix_r1
ctps_tdm23_2_0_x_mc,TDM23.2.0 mode-choice report HTML,Central Transportation Planning Staff,https://ctpsstaff.github.io/tdm23_users_guide/2.0/reports/x_mc.html,work/boston_database/runs/behavior_feedback_r1/inputs/ctps_tdm23_2_0_mode_choice_report.html,TDM23.2.0,model output,2026,2026-09-22,official_public_document,regional_model_estimate,regional base-model mode shares,e743e02fecd02796e8e9f7d27f1c088d8565ac36ba71d254c798755f5c09b352,link_or_redistribute_per_document_terms,behavior_feedback_r1_semantic_fix_r1
massgis_property_assessment_20260917,MassGIS standardized assessors parcels-derived activity prior,MassGIS / municipal assessors,https://www.mass.gov/info-details/massgis-data-standardized-assessors-parcels,work/boston_database/database/demand/scenarios/boston_activity_prior_r1_20260922/productions_attractions.csv,local snapshot documented by prior run,Boston/Cambridge assessment years differ,2026,2026-09-22,MassGIS terms and municipal source terms,official_observation,nonresidential building-area attraction proxy,9b0892381af356a2ec64ad43d7593ca1779f41cb59b5f2d66087422a2c2f0f64,derived_only_review_source_terms,behavior_feedback_r1_semantic_fix_r1
mbta_gtfs_mdb437_fall2026,MBTA Fall 2026 GTFS,MBTA via Mobility Database,https://cdn.mbta.com/MBTA_GTFS.zip,work/boston_database/raw/gtfs/mdb-437_20260918.zip,Fall 2026 version D,2026,2026,2026-09-22,MBTA open data terms; GTFS source attribution,official_observation,"service-day schedule, stops, trips, fares",94d12a7645402990f8e246759e5d97e5a65416baa3e201eacba132a1010c0c1e,archive_redistribution_unclear_keep_out_of_source_upload,behavior_feedback_r1_semantic_fix_r1
mbta_v3_vehicle_positions_20260921,MBTA V3 bus vehicle positions short live window,MBTA,https://api-v3.mbta.com/vehicles?filter%5Broute_type%5D=3,work/boston_database/database/observations/gps_segments.csv,boston_quality_r1_20260922,2026-09-21,2026,2026-09-22,MBTA open data terms,official_observation,pre-qualified exploratory stop-pair elapsed times,40d7d748199891fd43a059faa66b45a4fe551bc16103a2c3ba8bbd27b6646f7f,publish_only_deidentified_derived_records,behavior_feedback_r1_semantic_fix_r1
openstreetmap_overpass_20260601,Central Boston highway ways,OpenStreetMap contributors / Overpass API,https://overpass-api.de/,work/boston_database/raw/osm/behavior_feedback_r1/central_boston_highways.osm,osm_base 2026-06-01T08:52:28Z,2026,2026,2026-09-22,ODbL 1.0,official_observation,walking and cycling graph,5b59c0c4dd1afeac1b3193b239e5953c1315f0484952d136b70aeea48f6fbf4e,ODbL_attribution_and_share_alike_apply,behavior_feedback_r1_semantic_fix_r1
bbbike_cambridgema_20260920,BBBike CambridgeMa OSM extract,BBBike / OpenStreetMap contributors,https://download.bbbike.org/osm/bbbike/CambridgeMa/,work/boston_database/raw/osm/behavior_feedback_r1/CambridgeMa.osm.pbf,2026-09-20,2026,2026,2026-09-22,ODbL 1.0,official_observation,validated fallback extract; not used after Overpass XML recovered,51c3ec927fb36cfa914efc3cbfcd8fcb88f0bf01ec743cba9e9fc4fc17b8f756,ODbL_attribution_and_share_alike_apply,behavior_feedback_r1_semantic_fix_r1
h3_4_5_0,H3 spatial index,Uber,https://h3geo.org/,work/boston_database/database/zones/zone.csv,4.5.0,,2026,2026-09-22,Apache-2.0,engineering_assumption,H3 r9/r7 zone system,3643d69bce8c1158b253ce611ed24da348b1828687ac7a7124eea11be9c76d1d,derived_geometry_with_attribution,behavior_feedback_r1_semantic_fix_r1
mcl_static_fw,Mobility Computation Lab static Frank-Wolfe solver,project code,https://github.com/scholarhaozheng/mobility-network-lab,github_upload/algorithms/static_fw/tap_frank_wolfe.py,local current,2026,2026,2026-09-22,MIT for original code,engineering_assumption,two controlled panel-only assignments,2953536f51a614b359deaf122d9c6e96adf893059669b6325d25efc86fe23cc3,source_publishable,behavior_feedback_r1_semantic_fix_r1
bls_cpi_u_2010_annual_2026_08,CPI-U U.S. city average: 2010 annual and August 2026 all-items indexes,U.S. Bureau of Labor Statistics,https://www.bls.gov/news.release/archives/cpi_09112026.htm,,CPI-U 1982-84=100; release USDL-26-1496,2010;2026-08,2026,2026-09-23,U.S. government public information,official_observation,one-time conversion of selected-itinerary nominal 2026 fare delta to 2010 USD,,citation_and_values_only,behavior_feedback_r1_semantic_fix_r1
